GMM_Cluster,Customers,Revenue,RecencyMean,RecencyMedian,FrequencyMean,FrequencyMedian,MonetaryMean,MonetaryMedian,CustomerPct,RevenuePct
0,461,477271.41,69.9393,46.0,3.0,3.0,1035.2959,811.23,11.7722,6.5895
1,347,462504.19,50.6628,32.0,4.0,4.0,1332.8651,1105.59,8.8611,6.3857
2,607,222093.47,48.1137,48.0,1.0,1.0,365.8871,285.67,15.5005,3.0664
3,311,2972731.69,4.3441,4.0,17.1093,12.0,9558.6228,4040.88,7.9418,41.0436
4,289,646788.37,50.1488,44.0,6.3183,6.0,2238.022,1975.57,7.38,8.93
5,745,219981.17,244.8403,249.0,1.0,1.0,295.2767,224.91,19.0245,3.0372
6,349,1253016.73,16.3983,16.0,9.4699,8.0,3590.3058,2588.77,8.9122,17.3
7,413,261774.23,30.109,25.0,2.0,2.0,633.8359,511.35,10.5465,3.6142
8,64,529206.91,167.0781,157.0,8.0938,6.0,8268.858,1786.895,1.6343,7.3066
9,330,197487.15,174.597,168.0,2.0,2.0,598.4459,513.925,8.427,2.7266
